arch,lob,seed,mape,rmspe,n_companies,n_filtered,training_time,epochs_trained,best_val_loss
gru_baseline,private_passenger_auto,36,0.05170513251324772,0.09205430677504563,284,0,71.64,201,0.000484952450885127
gru_baseline,private_passenger_auto,37,0.05072319997481553,0.09187101695639664,284,0,71.61,201,0.0004900745439550115
gru_baseline,private_passenger_auto,38,0.049439826180361704,0.08741652088867097,284,0,71.3,201,0.00048069066542666405
gru_baseline,private_passenger_auto,39,0.04942156949243179,0.09063726482815573,284,0,71.44,201,0.0004703936703865313
gru_baseline,private_passenger_auto,40,0.05065363882580743,0.08907427676674783,284,0,77.92,201,0.0004918694159843855
gru_baseline,private_passenger_auto,41,0.05650508582816384,0.09928774854913318,284,0,76.97,201,0.0004903324265291707
gru_baseline,private_passenger_auto,42,0.054706658380745496,0.09783295740554378,284,0,76.16,201,0.00047989076119847596
gru_baseline,private_passenger_auto,43,0.04865236134769756,0.08765012464117915,284,0,75.96,201,0.000481923034789765
gru_baseline,private_passenger_auto,44,0.0544589100016624,0.09772773210305866,284,0,71.33,201,0.0004907083154345552
gru_baseline,private_passenger_auto,45,0.05278167769016469,0.0927876803975791,284,0,76.49,201,0.0004879586566756997
gru_baseline,private_passenger_auto,46,0.04760148169167647,0.08777317227052966,284,0,136.97,201,0.00048741076251543645
gru_baseline,private_passenger_auto,47,0.04920712637524252,0.087367591513389,284,0,142.84,201,0.0004938694053433008
gru_baseline,private_passenger_auto,48,0.05103302572566219,0.09380982542149764,284,0,77.39,201,0.0004945846772494002
gru_baseline,private_passenger_auto,49,0.05212178138956225,0.09769098379093616,284,0,98.22,201,0.0004859477954192294
gru_baseline,workers_compensation,0,0.10175409354554284,0.2047890899851098,234,0,117.06,202,0.0011169847067711608
gru_baseline,workers_compensation,1,0.09627523967336604,0.16945653731770163,234,0,116.96,202,0.0011605689651332796
gru_baseline,workers_compensation,2,0.0967628549391029,0.1689178806242185,234,0,120.27,202,0.0011299793758163495
gru_baseline,workers_compensation,3,0.09867545420084563,0.2274741651214245,234,0,125.84,202,0.0011581660198446894
gru_baseline,workers_compensation,4,0.09521292364140292,0.20017089853605669,234,0,126.36,202,0.0011410475126467645
gru_baseline,workers_compensation,5,0.09714328103957406,0.15968865031510754,234,0,88.53,202,0.0011459222296252847
gru_baseline,workers_compensation,6,0.10141186203807581,0.23413025724908482,234,0,48.57,202,0.0011286144227986889
gru_baseline,workers_compensation,7,0.0964531334996561,0.17128376239984927,234,0,48.81,202,0.0011330551101959177
gru_baseline,workers_compensation,8,0.10033667179826002,0.18863805210612328,234,0,53.84,202,0.001094442035537213
gru_baseline,workers_compensation,9,0.10030098223437449,0.19881345332748382,234,0,81.89,202,0.0011533870461529919
gru_baseline,workers_compensation,10,0.10413168932473015,0.2071079188380774,234,0,123.79,202,0.0011348295790542448
gru_baseline,workers_compensation,11,0.09614525947230147,0.15995647590113277,234,0,123.37,202,0.0011664488036850734
gru_baseline,workers_compensation,12,0.10107900883944264,0.18789185550018314,234,0,93.46,202,0.0011585842169422125
gru_baseline,workers_compensation,13,0.09366982621154363,0.1625279396278541,234,0,54.58,202,0.001145860438035535
gru_baseline,workers_compensation,14,0.10213598102376979,0.19214414030864851,234,0,62.25,202,0.0011445174791983195
gru_baseline,workers_compensation,15,0.09424880925683572,0.17115941298040638,234,0,62.57,202,0.001164407835208944
gru_baseline,workers_compensation,16,0.08736829557298206,0.2038627642613456,234,0,60.13,228,0.0011475053033791482
gru_baseline,workers_compensation,17,0.10408408890505813,0.24836496123537705,234,0,62.42,202,0.0011320410662197641
gru_baseline,workers_compensation,18,0.09780358394076404,0.1871728248317298,234,0,63.28,202,0.001127346676574754
gru_baseline,workers_compensation,19,0.10188314810071518,0.20716252403144542,234,0,79.78,202,0.0011718875030055642
gru_baseline,workers_compensation,20,0.0892062930481425,0.16292368491814258,234,0,60.88,202,0.0011880677110249443
gru_baseline,workers_compensation,21,0.09834373920191875,0.18302084914764985,234,0,52.6,202,0.001142502429762057
gru_baseline,workers_compensation,22,0.09534716693877134,0.1798287067063382,234,0,53.38,202,0.0011319343715773097
gru_baseline,workers_compensation,23,0.10387321112166019,0.22170298851415715,234,0,53.26,202,0.0011234858372647847
gru_baseline,workers_compensation,24,0.09776650018782618,0.16767061075255218,234,0,83.18,202,0.0011726309146199907
gru_baseline,workers_compensation,25,0.10078783512185457,0.2444617149760757,234,0,117.45,202,0.0011528246354178659
gru_baseline,workers_compensation,26,0.10413500133145348,0.20069134796984878,234,1,119.58,202,0.001131406195262181
gru_baseline,workers_compensation,27,0.10026493127309989,0.18231847661926545,234,0,118.85,202,0.0011454290943220258
gru_baseline,workers_compensation,28,0.10367064132580986,0.19929784640140596,234,0,101.05,202,0.0011549399932846427
gru_baseline,workers_compensation,29,0.08626047283306612,0.16725753055013673,234,0,56.02,212,0.0011512537603266537
gru_baseline,workers_compensation,30,0.09961395639387244,0.22150243094245742,234,0,53.17,202,0.0011211902767952
gru_baseline,workers_compensation,31,0.09390928965818689,0.16744605315742547,234,0,52.62,202,0.001174507654338543
gru_baseline,workers_compensation,32,0.09919470030983749,0.17036217044319837,234,1,61.8,202,0.0011608466406219772
gru_baseline,workers_compensation,33,0.1049779062796482,0.21304202318584128,234,0,61.53,202,0.0011510467821998255
gru_baseline,workers_compensation,34,0.1073478905947436,0.23310787880869605,234,0,61.68,202,0.001144068390463612
gru_baseline,workers_compensation,35,0.10013279145119416,0.18439081081864675,234,0,60.66,202,0.0011336298526397773
gru_baseline,workers_compensation,36,0.10177259551946242,0.23570177384626753,234,0,52.55,202,0.0011436202496822392
gru_baseline,workers_compensation,37,0.09206163419902708,0.20857133579399983,234,0,68.49,264,0.001125801554215806
gru_baseline,workers_compensation,38,0.09971374569418716,0.17977479604030716,234,0,52.55,202,0.0011366829026623496
gru_baseline,workers_compensation,39,0.09407615808830772,0.18097760216806877,234,0,56.87,202,0.00112627272028476
gru_baseline,workers_compensation,40,0.09996684626137682,0.20042967236353657,234,0,62.56,202,0.0011461529398470052
gru_baseline,workers_compensation,41,0.08749154794577185,0.18316081690605407,234,0,67.29,214,0.0011626415985769459
gru_baseline,workers_compensation,42,0.09905717603196931,0.1799929002530305,234,0,74.07,202,0.0011446629318275622
gru_baseline,workers_compensation,43,0.09695419320197521,0.16363282509721244,234,0,115.32,202,0.0011635274526530079
gru_baseline,workers_compensation,44,0.09097612938568471,0.19910462633948114,234,0,115.23,202,0.0011412761190773121
gru_baseline,workers_compensation,45,0.09515413754881498,0.23290911939061915,234,0,59.26,216,0.0011666279169730842
gru_baseline,workers_compensation,46,0.10543678462794549,0.18793578570722697,234,0,62.59,202,0.0011203506396019033
gru_baseline,workers_compensation,47,0.1004541231168288,0.1693689570330041,234,0,62.84,202,0.0011410060854229545
gru_baseline,workers_compensation,48,0.09856354921823454,0.2036141876452646,234,0,63.27,202,0.0011715724249370396
gru_baseline,workers_compensation,49,0.0971610646876383,0.17547160547378396,234,0,63.55,202,0.00114224710601515
gru_attention,private_passenger_auto,0,0.16484432457406684,0.272349480981291,284,0,93.29,201,0.007078927010297775
gru_attention,private_passenger_auto,1,0.16484432457406684,0.272349480981291,284,0,77.23,201,0.007078927010297775
gru_attention,private_passenger_auto,2,0.04387435346915172,0.08290766503373363,284,0,80.84,211,0.00048670345374072593
gru_attention,private_passenger_auto,3,0.11020744296895717,0.17348998638359814,284,0,169.16,366,0.00046333290002722706
gru_attention,private_passenger_auto,4,0.16484432457406684,0.272349480981291,284,0,100.3,201,0.007078927010297775
gru_attention,private_passenger_auto,5,0.05996777936481934,0.10228470312050884,284,0,147.14,305,0.00048651733797871403
gru_attention,private_passenger_auto,6,0.16484432457406684,0.272349480981291,284,0,77.55,201,0.007078927010297775
gru_attention,private_passenger_auto,7,0.09841507273550236,0.1604672323674434,284,0,92.15,240,0.004188792624821265
gru_attention,private_passenger_auto,8,0.04593311752295489,0.08907533819774795,284,0,106.03,275,0.000506673034073578
gru_attention,private_passenger_auto,9,0.12515886809954616,0.19562471396226833,284,0,90.17,235,0.0004775699053425342
gru_attention,private_passenger_auto,10,0.04717009727787246,0.09413362191843372,284,0,98.66,257,0.0004881293247712569
gru_attention,private_passenger_auto,11,0.16484432457406684,0.272349480981291,284,0,77.05,201,0.007078927010297775
gru_attention,private_passenger_auto,12,0.16484432457406684,0.272349480981291,284,0,80.88,211,0.003408817005240255
gru_attention,private_passenger_auto,13,0.16484432457406684,0.272349480981291,284,0,77.34,201,0.007078927010297775
gru_attention,private_passenger_auto,14,0.041191453424356726,0.07800859974260467,284,0,102.42,252,0.000497740179222698
gru_attention,private_passenger_auto,15,0.16484432457406684,0.272349480981291,284,0,121.96,201,0.007078927010297775
gru_attention,private_passenger_auto,16,0.16484432457406684,0.272349480981291,284,0,194.88,201,0.007078927010297775
gru_attention,private_passenger_auto,17,0.16484432457406684,0.272349480981291,284,0,193.42,201,0.007078927010297775
gru_attention,private_passenger_auto,18,0.16484432457406684,0.272349480981291,284,0,194.69,207,0.0033854685930742156
gru_attention,private_passenger_auto,19,0.16484432457406684,0.272349480981291,284,0,142.21,201,0.007078927010297775
gru_attention,private_passenger_auto,20,0.0552665751589694,0.09702304998585465,284,0,107.89,223,0.0005371996958274394
gru_attention,private_passenger_auto,21,0.16484432457406684,0.272349480981291,284,0,102.64,212,0.0034051175074030957
gru_attention,private_passenger_auto,22,0.09999411832670124,0.15907455281378083,284,0,103.01,214,0.0005281840147088385
gru_attention,private_passenger_auto,23,0.06075078555605291,0.10183186156244753,284,0,106.43,220,0.0004852667981241312
gru_attention,private_passenger_auto,24,0.16484432457406684,0.272349480981291,284,0,185.46,201,0.007078927010297775
gru_attention,private_passenger_auto,25,0.16484432457406684,0.272349480981291,284,0,190.28,201,0.007078927010297775
gru_attention,private_passenger_auto,26,0.07468418910165646,0.12094694014304819,284,0,204.11,215,0.00048653487141968473
gru_attention,private_passenger_auto,27,0.11932659437650558,0.18867586306784442,284,0,188.12,234,0.00047582579201035615
gru_attention,private_passenger_auto,28,0.11635428765776953,0.1804283103584867,284,0,92.5,227,0.0004883339829070286
gru_attention,private_passenger_auto,29,0.16484432457406684,0.272349480981291,284,0,100.03,201,0.007078927010297775
gru_attention,private_passenger_auto,30,0.16484432457406684,0.272349480981291,284,0,100.55,201,0.007078927010297775
gru_attention,private_passenger_auto,31,0.16484432457406684,0.272349480981291,284,0,84.71,201,0.007078927010297775
gru_attention,private_passenger_auto,32,0.11472825627688163,0.1770333256268986,284,0,118.37,244,0.0004712060229697575
gru_attention,private_passenger_auto,33,0.12405906888817167,0.19351031194657747,284,0,181.85,396,0.0006407797013202475
gru_attention,private_passenger_auto,34,0.04231744692294694,0.08055083952228416,284,0,98.58,257,0.0004945674607168055
gru_attention,private_passenger_auto,35,0.16484432457406684,0.272349480981291,284,0,77.62,201,0.007078927010297775
gru_attention,private_passenger_auto,36,0.16484432457406684,0.272349480981291,284,0,77.52,201,0.007078927010297775
gru_attention,private_passenger_auto,37,0.16484432457406684,0.272349480981291,284,0,77.18,201,0.007078927010297775
gru_attention,private_passenger_auto,38,0.16484432457406684,0.272349480981291,284,0,79.1,201,0.007078927010297775
gru_attention,private_passenger_auto,39,0.04906090034220529,0.09473388802880814,284,0,103.84,255,0.0004849648943895267
gru_attention,private_passenger_auto,40,0.16484432457406684,0.272349480981291,284,0,82.67,201,0.007078927010297775
gru_attention,private_passenger_auto,41,0.08518095998570517,0.13852873889811473,284,0,160.89,205,0.004187314305454493
gru_attention,private_passenger_auto,42,0.04434759186773137,0.08789846174819466,284,0,133.04,262,0.00048621171542132896
gru_attention,private_passenger_auto,43,0.16484432457406684,0.272349480981291,284,0,170.94,201,0.007078927010297775
gru_attention,private_passenger_auto,44,0.16484432457406684,0.272349480981291,284,0,195.12,201,0.007078927010297775
gru_attention,private_passenger_auto,45,0.16484432457406684,0.272349480981291,284,0,166.14,201,0.007078927010297775
gru_attention,private_passenger_auto,46,0.16484432457406684,0.272349480981291,284,0,84.38,201,0.007078927010297775
gru_attention,private_passenger_auto,47,0.038499144194662986,0.07369998855284084,284,0,250.85,286,0.000509937765956339
gru_attention,private_passenger_auto,48,0.04420218651265069,0.082608668787892,284,0,149.29,235,0.0004875704891876214
gru_attention,private_passenger_auto,49,0.11096509189138594,0.17454107115927345,284,0,211.81,239,0.0005001300596632063
gru_attention,workers_compensation,0,0.24938916749720977,0.35645206619428993,234,0,115.62,201,0.022679596607174193
gru_attention,workers_compensation,1,0.24938916749720977,0.35645206619428993,234,0,66.75,201,0.022679596607174193
gru_attention,workers_compensation,2,0.09900694023585876,0.1833375844308519,234,0,70.65,213,0.0011664277408272028
gru_attention,workers_compensation,3,0.24938916749720977,0.35645206619428993,234,0,76.98,201,0.022679596607174193
gru_attention,workers_compensation,4,0.1490067596176799,0.20630637291005974,234,0,275.09,427,0.001179965986271522
gru_attention,workers_compensation,5,0.24938916749720977,0.35645206619428993,234,0,132.62,205,0.0037851580751261543
gru_attention,workers_compensation,6,0.13673319757058272,0.19234231095888962,234,0,211.51,326,0.020031411200761795
gru_attention,workers_compensation,7,0.15906729999988453,0.22218274992815676,234,0,180.24,376,0.0011541898295815503
gru_attention,workers_compensation,8,0.08936909903401555,0.20925528508364102,234,0,106.33,374,0.0012656441540457308
gru_attention,workers_compensation,9,0.24938916749720977,0.35645206619428993,234,0,65.06,206,0.0038623996411583255
gru_attention,workers_compensation,10,0.1771104475378599,0.2686790039266377,234,0,70.38,223,0.0011538244600939964
